docID,edinetCode,secCode,filerName,formCode,submitDateTime,docTypeCode,submitDateTime,docDescription,pdfFlag,csvFlag
S100TN26,E36700,73810,株式会社北國フィナンシャルホールディングス,030000,2024-06-18 10:55:00,120.0,2024-06-18 10:55:00,有価証券報告書－第3期(2023/04/01－2024/03/31),1,1
S100TMUS,E04904,96190,株式会社イチネンホールディングス,030000,2024-06-18 10:58:00,120.0,2024-06-18 10:58:00,有価証券報告書－第62期(2023/04/01－2024/03/31),1,1
S100TMZV,E09753,71640,全国保証株式会社,030000,2024-06-18 11:57:00,120.0,2024-06-18 11:57:00,有価証券報告書－第44期(2023/04/01－2024/03/31),1,1
S100TMDS,E03623,84100,株式会社セブン銀行,030000,2024-06-18 13:00:00,120.0,2024-06-18 13:00:00,有価証券報告書－第23期(2023/04/01－2024/03/31),1,1
S100TNA4,E33603,42490,森六ホールディングス株式会社,030000,2024-06-18 13:06:00,120.0,2024-06-18 13:06:00,有価証券報告書－第109期(2023/04/01－2024/03/31),1,1
S100TMXO,E03266,75060,株式会社　ハウス　オブ　ローゼ,030000,2024-06-18 13:08:00,120.0,2024-06-18 13:08:00,有価証券報告書－第43期(2023/04/01－2024/03/31),1,1
S100TMWM,E02409,59060,エムケー精工株式会社,030000,2024-06-18 13:08:00,120.0,2024-06-18 13:08:00,有価証券報告書－第68期(2023/03/21－2024/03/20),1,1
S100TN44,E01019,49510,エステー株式会社,030000,2024-06-18 13:10:00,120.0,2024-06-18 13:10:00,有価証券報告書－第77期(2023/04/01－2024/03/31),1,1
S100TMSF,E01123,52040,石塚硝子株式会社,030000,2024-06-18 13:10:00,120.0,2024-06-18 13:10:00,有価証券報告書－第89期(2023/03/21－2024/03/20),1,1
S100TN3C,E04867,96630,株式会社ナガワ,030000,2024-06-18 14:40:00,120.0,2024-06-18 14:40:00,有価証券報告書－第60期(2023/04/01－2024/03/31),1,1
S100TN4O,E04889,96400,株式会社セゾンテクノロジー,030000,2024-06-18 14:40:00,120.0,2024-06-18 14:40:00,有価証券報告書－第55期(2023/04/01－2024/03/31),1,1
S100TNC9,E01413,59300,文化シヤッター株式会社,030000,2024-06-18 14:47:00,120.0,2024-06-18 14:47:00,有価証券報告書－第78期(2023/04/01－2024/03/31),1,1
S100TN37,E04220,90370,株式会社ハマキョウレックス,030000,2024-06-18 14:50:00,120.0,2024-06-18 14:50:00,有価証券報告書－第53期(2023/04/01－2024/03/31),1,1
S100TMUB,E02958,27680,双日株式会社,030000,2024-06-18 14:57:00,120.0,2024-06-18 14:57:00,有価証券報告書－第21期(2023/04/01－2024/03/31),1,1
S100TK6J,E26990,71630,住信ＳＢＩネット銀行株式会社,030000,2024-06-18 15:02:00,120.0,2024-06-18 15:02:00,有価証券報告書－第17期(2023/04/01－2024/03/31),1,1
S100TM39,E02652,80350,東京エレクトロン株式会社,030000,2024-06-18 15:10:00,120.0,2024-06-18 15:10:00,有価証券報告書－第61期(2023/04/01－2024/03/31),1,1
S100TNEF,E33435,34840,株式会社テンポイノベーション,030000,2024-06-18 15:24:00,120.0,2024-06-18 15:24:00,有価証券報告書－第18期(2023/04/01－2024/03/31),1,1
S100TMSZ,E34537,70470,ポート株式会社,030000,2024-06-18 15:30:00,120.0,2024-06-18 15:30:00,有価証券報告書－第13期(2023/04/01－2024/03/31),1,1
S100TMAD,E23818,31780,チムニー株式会社,030000,2024-06-18 15:31:00,120.0,2024-06-18 15:31:00,有価証券報告書－第16期(2023/04/01－2024/03/31),1,1
S100TN0N,E01878,68410,横河電機株式会社,030000,2024-06-18 15:33:00,120.0,2024-06-18 15:33:00,有価証券報告書－第148期(2023/04/01－2024/03/31),1,1
S100TNEL,E03160,98780,株式会社　セキド,030000,2024-06-18 15:53:00,120.0,2024-06-18 15:53:00,有価証券報告書－第62期(2023/03/21－2024/03/20),1,1
S100TMOP,E02686,49560,コニシ株式会社,030000,2024-06-18 15:53:00,120.0,2024-06-18 15:53:00,有価証券報告書－第99期(2023/04/01－2024/03/31),1,1
S100TMYO,E00385,22200,亀田製菓株式会社,030000,2024-06-18 16:02:00,120.0,2024-06-18 16:02:00,有価証券報告書－第67期(2023/04/01－2024/03/31),1,1
S100TNBX,E26327,71570,ライフネット生命保険株式会社,030000,2024-06-18 16:37:00,120.0,2024-06-18 16:37:00,有価証券報告書－第18期(2023/04/01－2024/03/31),1,1
S100TNEG,E37785,58320,株式会社ちゅうぎんフィナンシャルグループ,030000,2024-06-19 09:20:00,120.0,2024-06-19 09:20:00,有価証券報告書－第2期(2023/04/01－2024/03/31),1,1
S100TK3T,E02509,80140,蝶理株式会社,030000,2024-06-19 09:25:00,120.0,2024-06-19 09:25:00,有価証券報告書－第77期(2023/04/01－2024/03/31),1,1
S100TNEU,E02230,72680,株式会社タツミ,030000,2024-06-19 09:26:00,120.0,2024-06-19 09:26:00,有価証券報告書－第73期(2023/04/01－2024/03/31),1,1
S100TNDT,E04990,46790,株式会社　田　谷,030000,2024-06-19 09:31:00,120.0,2024-06-19 09:31:00,有価証券報告書－第50期(2023/04/01－2024/03/31),1,1
S100TN6I,E02727,98850,株式会社　シャルレ,030000,2024-06-19 09:41:00,120.0,2024-06-19 09:41:00,有価証券報告書－第49期(2023/04/01－2024/03/31),1,1
S100TN1U,E04208,90580,トランコム株式会社,030000,2024-06-19 10:00:00,120.0,2024-06-19 10:00:00,有価証券報告書－第67期(2023/04/01－2024/03/31),1,1
S100TNGG,E32022,71860,株式会社コンコルディア・フィナンシャルグループ,030000,2024-06-19 10:02:00,120.0,2024-06-19 10:02:00,有価証券報告書－第8期(2023/04/01－2024/03/31),1,1
S100TMPA,E00967,45440,Ｈ．Ｕ．グループホールディングス株式会社,030000,2024-06-19 10:05:00,120.0,2024-06-19 10:05:00,有価証券報告書－第74期(2023/04/01－2024/03/31),1,1
S100TN18,E00312,17260,株式会社ビーアールホールディングス,030000,2024-06-19 10:13:00,120.0,2024-06-19 10:13:00,有価証券報告書－第22期(2023/04/01－2024/03/31),1,1
S100TNCN,E03447,33520,株式会社バッファロー,030000,2024-06-19 10:26:00,120.0,2024-06-19 10:26:00,有価証券報告書－第42期(2023/04/01－2024/03/31),1,1
S100TN9M,E01806,65160,山洋電気株式会社,030000,2024-06-19 11:17:00,120.0,2024-06-19 11:17:00,有価証券報告書－第122期(2023/04/01－2024/03/31),1,1
S100TNRH,E00138,19670,株式会社ヤマト,030000,2024-06-19 11:46:00,120.0,2024-06-19 11:46:00,有価証券報告書－第79期(2023/03/21－2024/03/20),1,1
S100TNM1,E04235,91010,日本郵船株式会社,030000,2024-06-19 12:24:00,120.0,2024-06-19 12:24:00,有価証券報告書－第137期(2023/04/01－2024/03/31),1,1
S100TM8G,E05350,23710,株式会社カカクコム,030000,2024-06-19 12:37:00,120.0,2024-06-19 12:37:00,有価証券報告書－第27期(2023/04/01－2024/03/31),1,1
S100TN6N,E01696,62940,オカダアイヨン株式会社,030000,2024-06-19 12:39:00,120.0,2024-06-19 12:39:00,有価証券報告書－第65期(2023/04/01－2024/03/31),1,1
S100TNJH,E01480,61010,株式会社ツガミ,030000,2024-06-19 12:55:00,120.0,2024-06-19 12:55:00,有価証券報告書－第121期(2023/04/01－2024/03/31),1,1
S100TN5P,E01236,56090,日本鋳造株式会社,030000,2024-06-19 13:04:00,120.0,2024-06-19 13:04:00,有価証券報告書－第102期(2023/04/01－2024/03/31),1,1
S100TNCY,E04806,85950,ジャフコ　グループ株式会社,030000,2024-06-19 13:05:00,120.0,2024-06-19 13:05:00,有価証券報告書－第52期(2023/04/01－2024/03/31),1,1
S100TNF4,E02503,80930,極東貿易株式会社,030000,2024-06-19 13:10:00,120.0,2024-06-19 13:10:00,有価証券報告書－第104期(2023/04/01－2024/03/31),1,1
S100TMQQ,E00868,49600,ケミプロ化成株式会社,030000,2024-06-19 13:14:00,120.0,2024-06-19 13:14:00,有価証券報告書－第43期(2023/04/01－2024/03/31),1,1
